Geography,Violations ,2008,2009,2010,2011,2012
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation, causing death",1,0,0,1,0
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation, causing bodily harm",2,1,2,1,1
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,1
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",720,669,628,630,578
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",1,4,6,14,15
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation, failure to provide breath sample",25,28,34,38,35
"Kitchener-Cambridge-Waterloo, Ontario",Failure to comply or refusal (drugs),,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario","Impaired operation, failure to provide blood sample",1,2,0,1,0
"Kitchener-Cambridge-Waterloo, Ontario",Failure to provide blood sample (drugs),,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Total other Criminal Code traffic violations,242,247,289,318,285
"Kitchener-Cambridge-Waterloo, Ontario","Dangerous operation, causing death",1,0,0,2,0
"Kitchener-Cambridge-Waterloo, Ontario","Dangerous operation, causing bodily harm",7,4,9,8,9
"Kitchener-Cambridge-Waterloo, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",159,128,151,146,149
"Kitchener-Cambridge-Waterloo, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Dangerous operation of motor vehicle evading police,10,5,7,12,14
"Kitchener-Cambridge-Waterloo, Ontario",Total fail to stop or remain (46),27,25,25,41,32
"Kitchener-Cambridge-Waterloo, Ontario",Driving while prohibited,37,83,94,109,79
"Kitchener-Cambridge-Waterloo, Ontario",Other Criminal Code traffic violations,1,1,3,0,1
"Kitchener-Cambridge-Waterloo, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario",Dangerous operation of motor vehicle while street racing,0,1,0,0,1
"Brantford, Ontario (8)","Total, all violations",11622,11832,11104,10520,10648
"Brantford, Ontario (8)",Total Criminal Code traffic violations,384,376,310,298,264
"Brantford, Ontario (8)",Total impaired driving (49),227,236,208,201,180
"Brantford, Ontario (8)","Impaired operation, causing death",0,1,2,1,0
"Brantford, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Brantford, Ontario (8)","Impaired operation, causing bodily harm",2,2,3,1,2
"Brantford, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Brantford, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",208,213,176,177,163
"Brantford, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",0,1,4,2,0
"Brantford, Ontario (8)","Impaired operation, failure to provide breath sample",16,18,20,20,15
"Brantford, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Brantford, Ontario (8)","Impaired operation, failure to provide blood sample",1,1,3,0,0
"Brantford, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Brantford, Ontario (8)",Total other Criminal Code traffic violations,157,140,102,97,84
"Brantford, Ontario (8)","Dangerous operation, causing death",0,1,1,0,0
"Brantford, Ontario (8)","Dangerous operation, causing bodily harm",4,2,4,2,1
"Brantford, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",68,70,39,46,33
"Brantford, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Brantford, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,1
"Brantford, Ontario (8)",Dangerous operation of motor vehicle evading police,26,21,14,10,12
"Brantford, Ontario (8)",Total fail to stop or remain (46),20,7,10,10,10
"Brantford, Ontario (8)",Driving while prohibited,38,37,33,27,27
"Brantford, Ontario (8)",Other Criminal Code traffic violations,1,1,1,2,0
"Brantford, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Brantford, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Brantford, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Brantford, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Brantford, Ontario (8)",Dangerous operation of motor vehicle while street racing,0,1,0,0,0
"Guelph, Ontario (8)","Total, all violations",6412,6602,5884,5551,5781
"Guelph, Ontario (8)",Total Criminal Code traffic violations,234,232,217,238,226
"Guelph, Ontario (8)",Total impaired driving (49),203,194,180,197,187
"Guelph, Ontario (8)","Impaired operation, causing death",,,0,0,0
"Guelph, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Guelph, Ontario (8)","Impaired operation, causing bodily harm",0,0,0,2,1
"Guelph, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Guelph, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",191,187,174,179,175
"Guelph, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",,,0,0,1
"Guelph, Ontario (8)","Impaired operation, failure to provide breath sample",12,7,6,16,10
"Guelph, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Guelph, Ontario (8)","Impaired operation, failure to provide blood sample",,,0,0,0
"Guelph, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Guelph, Ontario (8)",Total other Criminal Code traffic violations,31,38,37,41,39
"Guelph, Ontario (8)","Dangerous operation, causing death",,,0,0,0
"Guelph, Ontario (8)","Dangerous operation, causing bodily harm",0,1,3,1,4
"Guelph, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",7,12,14,15,22
"Guelph, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Guelph, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Guelph, Ontario (8)",Dangerous operation of motor vehicle evading police,2,1,2,0,1
"Guelph, Ontario (8)",Total fail to stop or remain (46),4,4,6,5,3
"Guelph, Ontario (8)",Driving while prohibited,18,20,12,20,9
"Guelph, Ontario (8)",Other Criminal Code traffic violations,,,0,0,0
"Guelph, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Guelph, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Guelph, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Guelph, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Guelph, Ontario (8)",Dangerous operation of motor vehicle while street racing,,,0,0,0
"London, Ontario","Total, all violations",36397,36317,33506,31715,31292
"London, Ontario",Total Criminal Code traffic violations,1520,1549,1408,1422,1469
"London, Ontario",Total impaired driving (49),590,565,504,447,490
"London, Ontario","Impaired operation, causing death",1,2,1,3,1
"London, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"London, Ontario","Impaired operation, causing bodily harm",5,6,3,4,3
"London, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"London, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",565,520,464,402,443
"London, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",1,5,13,14,15
"London, Ontario","Impaired operation, failure to provide breath sample",18,32,22,22,27
"London, Ontario",Failure to comply or refusal (drugs),,,0,2,1
"London, Ontario","Impaired operation, failure to provide blood sample",0,0,1,0,0
"London, Ontario",Failure to provide blood sample (drugs),,,0,0,0
"London, Ontario",Total other Criminal Code traffic violations,930,984,904,975,979
"London, Ontario","Dangerous operation, causing death",1,0,0,0,0
"London, Ontario","Dangerous operation, causing bodily harm",3,2,0,5,9
"London, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",90,67,63,67,62
"London, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"London, Ontario","Dangerous operation evading police, causing bodily harm",2,1,0,1,0
"London, Ontario",Dangerous operation of motor vehicle evading police,35,19,19,23,18
"London, Ontario",Total fail to stop or remain (46),715,811,727,792,810
"London, Ontario",Driving while prohibited,82,83,92,87,79
"London, Ontario",Other Criminal Code traffic violations,2,1,3,0,1
"London, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"London, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"London, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"London, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"London, Ontario",Dangerous operation of motor vehicle while street racing,,,0,0,0
"Windsor, Ontario","Total, all violations",19465,18877,18126,16793,17184
"Windsor, Ontario",Total Criminal Code traffic violations,686,745,741,698,571
"Windsor, Ontario",Total impaired driving (49),319,346,330,318,254
"Windsor, Ontario","Impaired operation, causing death",3,0,1,1,2
"Windsor, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"Windsor, Ontario","Impaired operation, causing bodily harm",4,3,3,0,1
"Windsor, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Windsor, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",292,325,308,291,235
"Windsor, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",,,9,9,3
"Windsor, Ontario","Impaired operation, failure to provide breath sample",20,18,9,16,12
"Windsor, Ontario",Failure to comply or refusal (drugs),,,0,0,0
"Windsor, Ontario","Impaired operation, failure to provide blood sample",0,0,0,1,1
"Windsor, Ontario",Failure to provide blood sample (drugs),,,0,0,0
"Windsor, Ontario",Total other Criminal Code traffic violations,367,399,411,380,317
"Windsor, Ontario","Dangerous operation, causing death",0,0,0,0,0
"Windsor, Ontario","Dangerous operation, causing bodily harm",1,2,5,1,2
"Windsor, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",36,32,25,19,17
"Windsor, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"Windsor, Ontario","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Windsor, Ontario",Dangerous operation of motor vehicle evading police,10,12,4,9,5
"Windsor, Ontario",Total fail to stop or remain (46),280,312,326,301,251
"Windsor, Ontario",Driving while prohibited,40,41,35,35,15
"Windsor, Ontario",Other Criminal Code traffic violations,0,0,0,0,1
"Windsor, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"Windsor, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Windsor, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"Windsor, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Windsor, Ontario",Dangerous operation of motor vehicle while street racing,,,16,15,26
"Barrie, Ontario (8)","Total, all violations",11836,12118,11565,10554,10236
"Barrie, Ontario (8)",Total Criminal Code traffic violations,383,478,402,294,348
"Barrie, Ontario (8)",Total impaired driving (49),292,373,323,225,279
"Barrie, Ontario (8)","Impaired operation, causing death",1,0,0,0,0
"Barrie, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Barrie, Ontario (8)","Impaired operation, causing bodily harm",3,1,0,1,0
"Barrie, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Barrie, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",271,351,301,205,259
"Barrie, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",3,9,12,7,9
"Barrie, Ontario (8)","Impaired operation, failure to provide breath sample",14,12,10,12,10
"Barrie, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Barrie, Ontario (8)","Impaired operation, failure to provide blood sample",0,0,0,0,1
"Barrie, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Barrie, Ontario (8)",Total other Criminal Code traffic violations,91,105,79,69,69
"Barrie, Ontario (8)","Dangerous operation, causing death",,,0,0,0
"Barrie, Ontario (8)","Dangerous operation, causing bodily harm",3,4,3,2,0
"Barrie, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",43,36,22,26,26
"Barrie, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Barrie, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Barrie, Ontario (8)",Dangerous operation of motor vehicle evading police,5,3,6,3,1
"Barrie, Ontario (8)",Total fail to stop or remain (46),22,31,21,10,13
"Barrie, Ontario (8)",Driving while prohibited,17,30,27,28,26
"Barrie, Ontario (8)",Other Criminal Code traffic violations,1,1,0,0,2
"Barrie, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Barrie, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Barrie, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Barrie, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Barrie, Ontario (8)",Dangerous operation of motor vehicle while street racing,,,0,0,1
"Sudbury, Ontario","Total, all violations",9726,9810,10309,9703,9112
"Sudbury, Ontario",Total Criminal Code traffic violations,310,299,266,290,293
"Sudbury, Ontario",Total impaired driving (49),200,194,189,206,187
"Sudbury, Ontario","Impaired operation, causing death",1,2,0,1,0
"Sudbury, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"Sudbury, Ontario","Impaired operation, causing bodily harm",5,2,1,4,4
"Sudbury, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Sudbury, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",187,179,172,190,169
"Sudbury, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",0,1,0,1,1
"Sudbury, Ontario","Impaired operation, failure to provide breath sample",6,9,14,10,12
"Sudbury, Ontario",Failure to comply or refusal (drugs),,,0,0,0
"Sudbury, Ontario","Impaired operation, failure to provide blood sample",1,1,2,0,0
"Sudbury, Ontario",Failure to provide blood sample (drugs),,,0,0,1
"Sudbury, Ontario",Total other Criminal Code traffic violations,110,105,77,84,106
"Sudbury, Ontario","Dangerous operation, causing death",0,0,0,1,0
"Sudbury, Ontario","Dangerous operation, causing bodily harm",3,4,1,5,3
"Sudbury, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",53,49,35,37,49
"Sudbury, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"Sudbury, Ontario","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Sudbury, Ontario",Dangerous operation of motor vehicle evading police,8,9,3,1,0
"Sudbury, Ontario",Total fail to stop or remain (46),13,5,4,2,9
"Sudbury, Ontario",Driving while prohibited,32,37,34,38,45
"Sudbury, Ontario",Other Criminal Code traffic violations,0,0,0,0,0
"Sudbury, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"Sudbury, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Sudbury, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"Sudbury, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Sudbury, Ontario",Dangerous operation of motor vehicle while street racing,1,1,0,0,0
"Thunder Bay, Ontario","Total, all violations",10858,11644,11144,10635,8981
"Thunder Bay, Ontario",Total Criminal Code traffic violations,211,215,231,252,251
"Thunder Bay, Ontario",Total impaired driving (49),168,172,190,192,192
"Thunder Bay, Ontario","Impaired operation, causing death",0,0,1,0,0
"Thunder Bay, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"Thunder Bay, Ontario","Impaired operation, causing bodily harm",1,0,1,3,1
"Thunder Bay, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Thunder Bay, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",164,170,180,181,181
"Thunder Bay, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",,,1,1,0
"Thunder Bay, Ontario","Impaired operation, failure to provide breath sample",3,2,6,7,10
"Thunder Bay, Ontario",Failure to comply or refusal (drugs),,,0,0,0
"Thunder Bay, Ontario","Impaired operation, failure to provide blood sample",0,0,1,0,0
"Thunder Bay, Ontario",Failure to provide blood sample (drugs),,,0,0,0
"Thunder Bay, Ontario",Total other Criminal Code traffic violations,43,43,41,60,59
"Thunder Bay, Ontario","Dangerous operation, causing death",1,0,0,0,0
"Thunder Bay, Ontario","Dangerous operation, causing bodily harm",1,1,2,3,1
"Thunder Bay, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",26,26,20,24,27
"Thunder Bay, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"Thunder Bay, Ontario","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Thunder Bay, Ontario",Dangerous operation of motor vehicle evading police,4,0,1,4,3
"Thunder Bay, Ontario",Total fail to stop or remain (46),0,6,2,3,3
"Thunder Bay, Ontario",Driving while prohibited,11,10,15,25,25
"Thunder Bay, Ontario",Other Criminal Code traffic violations,0,0,1,1,0
"Thunder Bay, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"Thunder Bay, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Thunder Bay, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"Thunder Bay, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Thunder Bay, Ontario",Dangerous operation of motor vehicle while street racing,,,0,0,0
Manitoba,"Total, all violations",128193,137283,130027,121719,121471
Manitoba,Total Criminal Code traffic violations,4002,4764,4855,5132,5019
Manitoba,Total impaired driving (49),3027,3669,3722,3983,3761
Manitoba,"Impaired operation, causing death",11,8,11,16,17
Manitoba,"Impaired operation (drugs), causing death",0,1,0,0,0
Manitoba,"Impaired operation, causing bodily harm",48,70,67,59,53
Manitoba,"Impaired operation (drugs), causing bodily harm",0,1,1,1,1
Manitoba,"Impaired operation of motor vehicle, vessel or aircraft (51)",2838,3448,3470,3736,3518
Manitoba,"Impaired operation (drugs) vehicle, vessel, aircraft",15,40,60,68,70
Manitoba,"Impaired operation, failure to provide breath sample",108,91,109,100,97
Manitoba,Failure to comply or refusal (drugs),1,0,0,2,0
Manitoba,"Impaired operation, failure to provide blood sample",6,8,4,1,5
Manitoba,Failure to provide blood sample (drugs),0,2,0,0,0
Manitoba,Total other Criminal Code traffic violations,975,1095,1133,1149,1258
Manitoba,"Dangerous operation, causing death",9,4,5,5,7
Manitoba,"Dangerous operation, causing bodily harm",27,39,31,18,33
Manitoba,"Dangerous operation of motor vehicle, vessel or aircraft",270,295,276,246,297
Manitoba,"Dangerous operation evading police, causing death",0,0,1,0,0
Manitoba,"Dangerous operation evading police, causing bodily harm",2,1,1,1,1
Manitoba,Dangerous operation of motor vehicle evading police,76,45,82,69,66
Manitoba,Total fail to stop or remain (46),332,401,392,470,501
Manitoba,Driving while prohibited,250,293,331,319,348
Manitoba,Other Criminal Code traffic violations,1,3,2,2,1
Manitoba,Causing death by criminal negligence while street racing,,,0,0,0
Manitoba,Causing bodily harm by criminal negligence while street racing,,,0,0,0
Manitoba,Dangerous operation causing death while street racing,,,0,0,0
Manitoba,Dangerous operation causing bodily harm while street racing,,,0,1,0
Manitoba,Dangerous operation of motor vehicle while street racing,8,14,12,18,4
"Winnipeg, Manitoba (9,10,47)","Total, all violations",64548,72456,60538,53482,52747
"Winnipeg, Manitoba (9,10,47)",Total Criminal Code traffic violations,1070,1280,1229,1202,1107
"Winnipeg, Manitoba (9,10,47)",Total impaired driving (49),843,977,945,971,859
"Winnipeg, Manitoba (9,10,47)","Impaired operation, causing death",3,1,3,4,7
"Winnipeg, Manitoba (9,10,47)","Impaired operation (drugs), causing death",,,0,0,0
"Winnipeg, Manitoba (9,10,47)","Impaired operation, causing bodily harm",15,25,15,20,13
"Winnipeg, Manitoba (9,10,47)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Winnipeg, Manitoba (9,10,47)","Impaired operation of motor vehicle, vessel or aircraft (51)",783,910,893,921,810
"Winnipeg, Manitoba (9,10,47)","Impaired operation (drugs) vehicle, vessel, aircraft",2,5,8,8,8
"Winnipeg, Manitoba (9,10,47)","Impaired operation, failure to provide breath sample",37,35,25,18,20
"Winnipeg, Manitoba (9,10,47)",Failure to comply or refusal (drugs),,,0,0,0
"Winnipeg, Manitoba (9,10,47)","Impaired operation, failure to provide blood sample",3,1,1,0,1
"Winnipeg, Manitoba (9,10,47)",Failure to provide blood sample (drugs),,,0,0,0
"Winnipeg, Manitoba (9,10,47)",Total other Criminal Code traffic violations,227,303,284,231,248
"Winnipeg, Manitoba (9,10,47)","Dangerous operation, causing death",4,1,1,3,4
"Winnipeg, Manitoba (9,10,47)","Dangerous operation, causing bodily harm",10,13,11,3,9
"Winnipeg, Manitoba (9,10,47)","Dangerous operation of motor vehicle, vessel or aircraft",86,122,92,63,76
"Winnipeg, Manitoba (9,10,47)","Dangerous operation evading police, causing death",0,0,1,0,0
"Winnipeg, Manitoba (9,10,47)","Dangerous operation evading police, causing bodily harm",0,0,0,0,1
"Winnipeg, Manitoba (9,10,47)",Dangerous operation of motor vehicle evading police,30,21,30,19,22
"Winnipeg, Manitoba (9,10,47)",Total fail to stop or remain (46),24,45,47,39,33
"Winnipeg, Manitoba (9,10,47)",Driving while prohibited,72,91,97,99,103
"Winnipeg, Manitoba (9,10,47)",Other Criminal Code traffic violations,0,2,0,0,0
"Winnipeg, Manitoba (9,10,47)",Causing death by criminal negligence while street racing,,,0,0,0
"Winnipeg, Manitoba (9,10,47)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Winnipeg, Manitoba (9,10,47)",Dangerous operation causing death while street racing,,,0,0,0
"Winnipeg, Manitoba (9,10,47)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Winnipeg, Manitoba (9,10,47)",Dangerous operation of motor vehicle while street racing,1,8,5,5,0
Saskatchewan (11),"Total, all violations",147534,148574,150451,150574,147031
Saskatchewan (11),Total Criminal Code traffic violations,11638,9993,10016,10470,11563
Saskatchewan (11),Total impaired driving (49),6143,6299,6566,7192,7834
Saskatchewan (11),"Impaired operation, causing death",24,12,14,14,22
Saskatchewan (11),"Impaired operation (drugs), causing death",1,0,0,0,0
Saskatchewan (11),"Impaired operation, causing bodily harm",109,88,90,80,75
Saskatchewan (11),"Impaired operation (drugs), causing bodily harm",0,2,0,2,2
Saskatchewan (11),"Impaired operation of motor vehicle, vessel or aircraft (51)",5837,5973,6227,6879,7507
Saskatchewan (11),"Impaired operation (drugs) vehicle, vessel, aircraft",27,88,112,105,112
Saskatchewan (11),"Impaired operation, failure to provide breath sample",137,129,119,110,113
Saskatchewan (11),Failure to comply or refusal (drugs),0,0,1,0,2
Saskatchewan (11),"Impaired operation, failure to provide blood sample",8,6,3,2,1
Saskatchewan (11),Failure to provide blood sample (drugs),0,1,0,0,0
Saskatchewan (11),Total other Criminal Code traffic violations,5495,3694,3450,3278,3729
Saskatchewan (11),"Dangerous operation, causing death",1,2,7,6,6
Saskatchewan (11),"Dangerous operation, causing bodily harm",66,52,55,41,37
Saskatchewan (11),"Dangerous operation of motor vehicle, vessel or aircraft",541,590,606,628,730
Saskatchewan (11),"Dangerous operation evading police, causing death",0,0,0,0,0
Saskatchewan (11),"Dangerous operation evading police, causing bodily harm",5,1,3,4,1
Saskatchewan (11),Dangerous operation of motor vehicle evading police,226,205,214,226,235
Saskatchewan (11),Total fail to stop or remain (46),4070,2251,1960,1784,2121
Saskatchewan (11),Driving while prohibited,575,574,597,576,580
Saskatchewan (11),Other Criminal Code traffic violations,4,6,1,2,7
Saskatchewan (11),Causing death by criminal negligence while street racing,1,0,0,0,0
Saskatchewan (11),Causing bodily harm by criminal negligence while street racing,0,1,0,0,0
Saskatchewan (11),Dangerous operation causing death while street racing,,,0,0,0
Saskatchewan (11),Dangerous operation causing bodily harm while street racing,,,0,0,0
Saskatchewan (11),Dangerous operation of motor vehicle while street racing,6,12,7,11,12
"Regina, Saskatchewan","Total, all violations",27378,25445,24489,24182,23071
"Regina, Saskatchewan",Total Criminal Code traffic violations,3475,1993,1867,1380,1604
"Regina, Saskatchewan",Total impaired driving (49),576,661,828,818,764
"Regina, Saskatchewan","Impaired operation, causing death",2,0,1,0,0
"Regina, Saskatchewan","Impaired operation (drugs), causing death",,,0,0,0
"Regina, Saskatchewan","Impaired operation, causing bodily harm",20,13,13,17,9
"Regina, Saskatchewan","Impaired operation (drugs), causing bodily harm",0,1,0,0,0
"Regina, Saskatchewan","Impaired operation of motor vehicle, vessel or aircraft (51)",544,625,794,778,727
"Regina, Saskatchewan","Impaired operation (drugs) vehicle, vessel, aircraft",0,8,11,9,9
"Regina, Saskatchewan","Impaired operation, failure to provide breath sample",10,12,9,14,19
"Regina, Saskatchewan",Failure to comply or refusal (drugs),,,0,0,0
"Regina, Saskatchewan","Impaired operation, failure to provide blood sample",0,2,0,0,0
"Regina, Saskatchewan",Failure to provide blood sample (drugs),,,0,0,0
"Regina, Saskatchewan",Total other Criminal Code traffic violations,2899,1332,1039,562,840
"Regina, Saskatchewan","Dangerous operation, causing death",0,0,0,0,0
"Regina, Saskatchewan","Dangerous operation, causing bodily harm",8,7,9,8,4
"Regina, Saskatchewan","Dangerous operation of motor vehicle, vessel or aircraft",50,70,62,75,69
"Regina, Saskatchewan","Dangerous operation evading police, causing death",0,0,0,0,0
"Regina, Saskatchewan","Dangerous operation evading police, causing bodily harm",3,0,1,0,0
"Regina, Saskatchewan",Dangerous operation of motor vehicle evading police,92,83,96,89,101
"Regina, Saskatchewan",Total fail to stop or remain (46),2665,1102,800,309,586
"Regina, Saskatchewan",Driving while prohibited,78,64,71,77,79
"Regina, Saskatchewan",Other Criminal Code traffic violations,3,3,0,1,1
"Regina, Saskatchewan",Causing death by criminal negligence while street racing,,,0,0,0
"Regina, Saskatchewan",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Regina, Saskatchewan",Dangerous operation causing death while street racing,,,0,0,0
"Regina, Saskatchewan",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Regina, Saskatchewan",Dangerous operation of motor vehicle while street racing,0,3,0,3,0
"Saskatoon, Saskatchewan","Total, all violations",30300,29352,28011,28536,26741
"Saskatoon, Saskatchewan",Total Criminal Code traffic violations,977,966,973,966,940
"Saskatoon, Saskatchewan",Total impaired driving (49),731,757,749,723,728
"Saskatoon, Saskatchewan","Impaired operation, causing death",1,1,0,0,3
"Saskatoon, Saskatchewan","Impaired operation (drugs), causing death",,,0,0,0
"Saskatoon, Saskatchewan","Impaired operation, causing bodily harm",12,19,13,12,15
"Saskatoon, Saskatchewan","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Saskatoon, Saskatchewan","Impaired operation of motor vehicle, vessel or aircraft (51)",695,702,690,672,689
"Saskatoon, Saskatchewan","Impaired operation (drugs) vehicle, vessel, aircraft",1,3,9,16,1
"Saskatoon, Saskatchewan","Impaired operation, failure to provide breath sample",22,31,36,23,19
"Saskatoon, Saskatchewan",Failure to comply or refusal (drugs),,,0,0,1
"Saskatoon, Saskatchewan","Impaired operation, failure to provide blood sample",0,0,1,0,0
"Saskatoon, Saskatchewan",Failure to provide blood sample (drugs),0,1,0,0,0
"Saskatoon, Saskatchewan",Total other Criminal Code traffic violations,246,209,224,243,212
"Saskatoon, Saskatchewan","Dangerous operation, causing death",1,0,2,2,0
"Saskatoon, Saskatchewan","Dangerous operation, causing bodily harm",8,6,7,8,3
"Saskatoon, Saskatchewan","Dangerous operation of motor vehicle, vessel or aircraft",75,53,56,50,52
"Saskatoon, Saskatchewan","Dangerous operation evading police, causing death",0,0,0,0,0
"Saskatoon, Saskatchewan","Dangerous operation evading police, causing bodily harm",1,1,0,2,1
"Saskatoon, Saskatchewan",Dangerous operation of motor vehicle evading police,22,27,40,49,31
"Saskatoon, Saskatchewan",Total fail to stop or remain (46),84,61,55,72,72
