Geography,Violations ,2008,2009,2010,2011,2012
"Moncton, New Brunswick (8)","Impaired operation, failure to provide blood sample",1,1,0,1,2
"Moncton, New Brunswick (8)",Failure to provide blood sample (drugs),1,1,0,0,0
"Moncton, New Brunswick (8)",Total other Criminal Code traffic violations,144,162,165,169,182
"Moncton, New Brunswick (8)","Dangerous operation, causing death",,,1,0,0
"Moncton, New Brunswick (8)","Dangerous operation, causing bodily harm",3,1,1,4,0
"Moncton, New Brunswick (8)","Dangerous operation of motor vehicle, vessel or aircraft",29,51,37,20,15
"Moncton, New Brunswick (8)","Dangerous operation evading police, causing death",,,0,0,0
"Moncton, New Brunswick (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Moncton, New Brunswick (8)",Dangerous operation of motor vehicle evading police,9,2,7,3,5
"Moncton, New Brunswick (8)",Total fail to stop or remain (46),80,78,86,113,126
"Moncton, New Brunswick (8)",Driving while prohibited,23,30,30,28,35
"Moncton, New Brunswick (8)",Other Criminal Code traffic violations,,,0,0,0
"Moncton, New Brunswick (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Moncton, New Brunswick (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Moncton, New Brunswick (8)",Dangerous operation causing death while street racing,,,0,0,0
"Moncton, New Brunswick (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Moncton, New Brunswick (8)",Dangerous operation of motor vehicle while street racing,,,3,1,1
"Saint John, New Brunswick (4,47)","Total, all violations",10874,10561,10273,9193,9179
"Saint John, New Brunswick (4,47)",Total Criminal Code traffic violations,467,495,457,468,417
"Saint John, New Brunswick (4,47)",Total impaired driving (49),380,358,328,347,322
"Saint John, New Brunswick (4,47)","Impaired operation, causing death",0,0,2,0,0
"Saint John, New Brunswick (4,47)","Impaired operation (drugs), causing death",,,0,0,0
"Saint John, New Brunswick (4,47)","Impaired operation, causing bodily harm",4,0,2,3,1
"Saint John, New Brunswick (4,47)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Saint John, New Brunswick (4,47)","Impaired operation of motor vehicle, vessel or aircraft (51)",342,322,287,308,282
"Saint John, New Brunswick (4,47)","Impaired operation (drugs) vehicle, vessel, aircraft",1,2,2,3,3
"Saint John, New Brunswick (4,47)","Impaired operation, failure to provide breath sample",32,33,35,33,34
"Saint John, New Brunswick (4,47)",Failure to comply or refusal (drugs),,1,0,0,0
"Saint John, New Brunswick (4,47)","Impaired operation, failure to provide blood sample",1,0,0,0,2
"Saint John, New Brunswick (4,47)",Failure to provide blood sample (drugs),,,0,0,0
"Saint John, New Brunswick (4,47)",Total other Criminal Code traffic violations,87,137,129,121,95
"Saint John, New Brunswick (4,47)","Dangerous operation, causing death",0,0,0,0,0
"Saint John, New Brunswick (4,47)","Dangerous operation, causing bodily harm",1,3,3,1,0
"Saint John, New Brunswick (4,47)","Dangerous operation of motor vehicle, vessel or aircraft",14,15,25,21,13
"Saint John, New Brunswick (4,47)","Dangerous operation evading police, causing death",0,0,0,0,0
"Saint John, New Brunswick (4,47)","Dangerous operation evading police, causing bodily harm",0,0,0,0,2
"Saint John, New Brunswick (4,47)",Dangerous operation of motor vehicle evading police,2,6,7,3,7
"Saint John, New Brunswick (4,47)",Total fail to stop or remain (46),54,73,68,60,32
"Saint John, New Brunswick (4,47)",Driving while prohibited,15,40,26,36,41
"Saint John, New Brunswick (4,47)",Other Criminal Code traffic violations,0,0,0,0,0
"Saint John, New Brunswick (4,47)",Causing death by criminal negligence while street racing,,,0,0,0
